epoch,train_ppl,val_ppl
1,5119.5427,729.9098
2,681.4790,640.1750
3,627.1747,600.8243
4,588.4356,563.0319
5,551.5522,528.0298
6,519.2295,498.9479
7,490.8772,470.5978
8,467.5077,449.8054
9,446.7584,429.4947
10,428.2554,411.3435
11,412.5217,395.9452
12,397.7910,381.3890
13,384.2525,368.9652
14,372.2247,355.9325
15,360.9725,345.4134
16,350.5152,333.8671
17,340.3164,323.5307
18,331.0060,314.3975
19,322.0993,305.9090
20,313.7345,298.2119
21,305.7147,290.3851
22,298.0911,283.5426
23,291.0089,276.4054
24,284.0601,269.2302
25,277.4077,262.6248
26,271.1620,257.9102
27,265.0672,251.4322
28,259.3286,246.9116
29,253.8526,240.9101
30,248.5114,236.8441
